time_start,time_end,scenario_id,ue_total,attackers,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,flow_duration,total_bytes_fwd,total_bytes_bwd,total_pkts_fwd,total_pkts_bwd,pkts_per_sec,bytes_per_sec,flow_pkts_per_sec,flow_bytes_per_sec,jitter_ms,delay_ms,label_binary,label_intensity
0,1,50_static_udp_benign_med_r3,50,0,10.1.1.1,10.1.1.17,49153,1016,17,540,1,13500,0,25,0,25,13500,25,13500,0,0,0,0
0,1,50_static_udp_benign_med_r3,50,0,10.1.1.6,10.1.1.30,49153,1029,17,540,1,13500,0,25,0,25,13500,25,13500,0,0,0,0
0,1,50_static_udp_benign_med_r3,50,0,10.1.1.10,10.1.1.7,49153,1006,17,540,1,13500,0,25,0,25,13500,25,13500,0,0,0,0
0,1,50_static_udp_benign_med_r3,50,0,10.1.1.13,10.1.1.5,49153,1004,17,540,1,13500,0,25,0,25,13500,25,13500,0,0,0,0
0,1,50_static_udp_benign_med_r3,50,0,10.1.1.15,10.1.1.17,49153,1016,17,540,1,13500,0,25,0,25,13500,25,13500,0,0,0,0
0,1,50_static_udp_benign_med_r3,50,0,10.1.1.20,10.1.1.17,49153,1016,17,540,1,13500,0,25,0,25,13500,25,13500,0,0,0,0
0,1,50_static_udp_benign_med_r3,50,0,10.1.1.21,10.1.1.7,49153,1006,17,540,1,13500,0,25,0,25,13500,25,13500,0,0,0,0
0,1,50_static_udp_benign_med_r3,50,0,10.1.1.22,10.1.1.5,49153,1004,17,540,1,13500,0,25,0,25,13500,25,13500,0,0,0,0
0,1,50_static_udp_benign_med_r3,50,0,10.1.1.26,10.1.1.5,49153,1004,17,540,1,13500,0,25,0,25,13500,25,13500,0,0,0,0
0,1,50_static_udp_benign_med_r3,50,0,10.1.1.31,10.1.1.32,49153,1031,17,540,1,13500,0,25,0,25,13500,25,13500,0,0,0,0
0,1,50_static_udp_benign_med_r3,50,0,10.1.1.35,10.1.1.5,49153,1004,17,540,1,13500,0,25,0,25,13500,25,13500,0,0,0,0
0,1,50_static_udp_benign_med_r3,50,0,10.1.1.36,10.1.1.30,49153,1029,17,540,1,13500,0,25,0,25,13500,25,13500,0,0,0,0
0,1,50_static_udp_benign_med_r3,50,0,10.1.1.41,10.1.1.17,49153,1016,17,540,1,13500,0,25,0,25,13500,25,13500,0,0,0,0
0,1,50_static_udp_benign_med_r3,50,0,10.1.1.43,10.1.1.30,49153,1029,17,540,1,13500,0,25,0,25,13500,25,13500,0,0,0,0
0,1,50_static_udp_benign_med_r3,50,0,10.1.1.48,10.1.1.5,49153,1004,17,540,1,13500,0,25,0,25,13500,25,13500,0,0,0,0
1,2,50_static_udp_benign_med_r3,50,0,10.1.1.1,10.1.1.17,49153,1016,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
1,2,50_static_udp_benign_med_r3,50,0,10.1.1.6,10.1.1.30,49153,1029,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
1,2,50_static_udp_benign_med_r3,50,0,10.1.1.10,10.1.1.7,49153,1006,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
1,2,50_static_udp_benign_med_r3,50,0,10.1.1.13,10.1.1.5,49153,1004,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
1,2,50_static_udp_benign_med_r3,50,0,10.1.1.15,10.1.1.17,49153,1016,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
1,2,50_static_udp_benign_med_r3,50,0,10.1.1.20,10.1.1.17,49153,1016,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
1,2,50_static_udp_benign_med_r3,50,0,10.1.1.21,10.1.1.7,49153,1006,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
1,2,50_static_udp_benign_med_r3,50,0,10.1.1.22,10.1.1.5,49153,1004,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
1,2,50_static_udp_benign_med_r3,50,0,10.1.1.26,10.1.1.5,49153,1004,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
1,2,50_static_udp_benign_med_r3,50,0,10.1.1.31,10.1.1.32,49153,1031,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
1,2,50_static_udp_benign_med_r3,50,0,10.1.1.35,10.1.1.5,49153,1004,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
1,2,50_static_udp_benign_med_r3,50,0,10.1.1.36,10.1.1.30,49153,1029,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
1,2,50_static_udp_benign_med_r3,50,0,10.1.1.41,10.1.1.17,49153,1016,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
1,2,50_static_udp_benign_med_r3,50,0,10.1.1.43,10.1.1.30,49153,1029,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
1,2,50_static_udp_benign_med_r3,50,0,10.1.1.48,10.1.1.5,49153,1004,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_static_udp_benign_med_r3,50,0,10.1.1.1,10.1.1.17,49153,1016,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_static_udp_benign_med_r3,50,0,10.1.1.6,10.1.1.30,49153,1029,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_static_udp_benign_med_r3,50,0,10.1.1.10,10.1.1.7,49153,1006,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_static_udp_benign_med_r3,50,0,10.1.1.13,10.1.1.5,49153,1004,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_static_udp_benign_med_r3,50,0,10.1.1.15,10.1.1.17,49153,1016,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_static_udp_benign_med_r3,50,0,10.1.1.20,10.1.1.17,49153,1016,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_static_udp_benign_med_r3,50,0,10.1.1.21,10.1.1.7,49153,1006,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_static_udp_benign_med_r3,50,0,10.1.1.22,10.1.1.5,49153,1004,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_static_udp_benign_med_r3,50,0,10.1.1.26,10.1.1.5,49153,1004,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_static_udp_benign_med_r3,50,0,10.1.1.31,10.1.1.32,49153,1031,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_static_udp_benign_med_r3,50,0,10.1.1.35,10.1.1.5,49153,1004,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_static_udp_benign_med_r3,50,0,10.1.1.36,10.1.1.30,49153,1029,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_static_udp_benign_med_r3,50,0,10.1.1.41,10.1.1.17,49153,1016,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_static_udp_benign_med_r3,50,0,10.1.1.43,10.1.1.30,49153,1029,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,50_static_udp_benign_med_r3,50,0,10.1.1.48,10.1.1.5,49153,1004,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_static_udp_benign_med_r3,50,0,10.1.1.1,10.1.1.17,49153,1016,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_static_udp_benign_med_r3,50,0,10.1.1.6,10.1.1.30,49153,1029,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_static_udp_benign_med_r3,50,0,10.1.1.10,10.1.1.7,49153,1006,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_static_udp_benign_med_r3,50,0,10.1.1.13,10.1.1.5,49153,1004,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_static_udp_benign_med_r3,50,0,10.1.1.15,10.1.1.17,49153,1016,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_static_udp_benign_med_r3,50,0,10.1.1.20,10.1.1.17,49153,1016,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_static_udp_benign_med_r3,50,0,10.1.1.21,10.1.1.7,49153,1006,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_static_udp_benign_med_r3,50,0,10.1.1.22,10.1.1.5,49153,1004,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_static_udp_benign_med_r3,50,0,10.1.1.26,10.1.1.5,49153,1004,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,50_static_udp_benign_med_r3,50,0,10.1.1.31,10.1.1.32,49153,1031,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
