time_start,time_end,scenario_id,ue_total,attackers,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,flow_duration,total_bytes_fwd,total_bytes_bwd,total_pkts_fwd,total_pkts_bwd,pkts_per_sec,bytes_per_sec,flow_pkts_per_sec,flow_bytes_per_sec,jitter_ms,delay_ms,label_binary,label_intensity
0,1,10_static_udp_ddos_high_r14,10,5,10.1.1.2,10.1.1.8,49153,1007,17,540,1,13500,0,25,0,25,13500,25,13500,0,0,0,0
0,1,10_static_udp_ddos_high_r14,10,5,10.1.1.6,10.1.1.8,49153,1007,17,1052,1,3507368,0,3334,0,3334,3.50737e+06,3334,3.50737e+06,0,0,1,3
0,1,10_static_udp_ddos_high_r14,10,5,10.1.1.7,10.1.1.1,49153,1000,17,1052,1,3507368,0,3334,0,3334,3.50737e+06,3334,3.50737e+06,0,0,1,3
0,1,10_static_udp_ddos_high_r14,10,5,10.1.1.8,10.1.1.4,49153,1003,17,1052,1,3507368,0,3334,0,3334,3.50737e+06,3334,3.50737e+06,0,0,1,3
0,1,10_static_udp_ddos_high_r14,10,5,10.1.1.9,10.1.1.3,49153,1002,17,1052,1,3507368,0,3334,0,3334,3.50737e+06,3334,3.50737e+06,0,0,1,3
0,1,10_static_udp_ddos_high_r14,10,5,10.1.1.10,10.1.1.5,49153,1004,17,1052,1,3507368,0,3334,0,3334,3.50737e+06,3334,3.50737e+06,0,0,0,0
1,2,10_static_udp_ddos_high_r14,10,5,10.1.1.2,10.1.1.8,49153,1007,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
1,2,10_static_udp_ddos_high_r14,10,5,10.1.1.6,10.1.1.8,49153,1007,17,1052,1,7012632,0,6666,0,6666,7.01263e+06,6666,7.01263e+06,0,0,1,3
1,2,10_static_udp_ddos_high_r14,10,5,10.1.1.7,10.1.1.1,49153,1000,17,1052,1,7012632,0,6666,0,6666,7.01263e+06,6666,7.01263e+06,0,0,1,3
1,2,10_static_udp_ddos_high_r14,10,5,10.1.1.8,10.1.1.4,49153,1003,17,1052,1,7012632,0,6666,0,6666,7.01263e+06,6666,7.01263e+06,0,0,1,3
