time_start,time_end,scenario_id,ue_total,attackers,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,flow_duration,total_bytes_fwd,total_bytes_bwd,total_pkts_fwd,total_pkts_bwd,pkts_per_sec,bytes_per_sec,flow_pkts_per_sec,flow_bytes_per_sec,jitter_ms,delay_ms,label_binary,label_intensity
0,1,10_static_udp_ddos_low_r53,10,5,10.1.1.2,10.1.1.3,49153,1002,17,540,1,13500,0,25,0,25,13500,25,13500,0,0,0,0
0,1,10_static_udp_ddos_low_r53,10,5,10.1.1.4,10.1.1.1,49153,1000,17,540,1,13500,0,25,0,25,13500,25,13500,0,0,0,0
0,1,10_static_udp_ddos_low_r53,10,5,10.1.1.5,10.1.1.1,49153,1000,17,540,1,13500,0,25,0,25,13500,25,13500,0,0,1,3
0,1,10_static_udp_ddos_low_r53,10,5,10.1.1.6,10.1.1.3,49153,1002,17,1052,1,657500,0,625,0,625,657500,625,657500,0,0,1,3
0,1,10_static_udp_ddos_low_r53,10,5,10.1.1.7,10.1.1.1,49153,1000,17,1052,1,657500,0,625,0,625,657500,625,657500,0,0,1,3
0,1,10_static_udp_ddos_low_r53,10,5,10.1.1.8,10.1.1.9,49153,1008,17,1052,1,657500,0,625,0,625,657500,625,657500,0,0,1,3
0,1,10_static_udp_ddos_low_r53,10,5,10.1.1.9,10.1.1.10,49153,1009,17,1052,1,657500,0,625,0,625,657500,625,657500,0,0,1,3
0,1,10_static_udp_ddos_low_r53,10,5,10.1.1.10,10.1.1.1,49153,1000,17,1052,1,657500,0,625,0,625,657500,625,657500,0,0,0,0
1,2,10_static_udp_ddos_low_r53,10,5,10.1.1.2,10.1.1.3,49153,1002,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
1,2,10_static_udp_ddos_low_r53,10,5,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
1,2,10_static_udp_ddos_low_r53,10,5,10.1.1.5,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,1,3
1,2,10_static_udp_ddos_low_r53,10,5,10.1.1.6,10.1.1.3,49153,1002,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
1,2,10_static_udp_ddos_low_r53,10,5,10.1.1.7,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
1,2,10_static_udp_ddos_low_r53,10,5,10.1.1.8,10.1.1.9,49153,1008,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
1,2,10_static_udp_ddos_low_r53,10,5,10.1.1.9,10.1.1.10,49153,1009,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
1,2,10_static_udp_ddos_low_r53,10,5,10.1.1.10,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,0,0
2,3,10_static_udp_ddos_low_r53,10,5,10.1.1.2,10.1.1.3,49153,1002,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,10_static_udp_ddos_low_r53,10,5,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
2,3,10_static_udp_ddos_low_r53,10,5,10.1.1.5,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,1,3
2,3,10_static_udp_ddos_low_r53,10,5,10.1.1.6,10.1.1.3,49153,1002,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
2,3,10_static_udp_ddos_low_r53,10,5,10.1.1.7,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
2,3,10_static_udp_ddos_low_r53,10,5,10.1.1.8,10.1.1.9,49153,1008,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
2,3,10_static_udp_ddos_low_r53,10,5,10.1.1.9,10.1.1.10,49153,1009,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
2,3,10_static_udp_ddos_low_r53,10,5,10.1.1.10,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,0,0
3,4,10_static_udp_ddos_low_r53,10,5,10.1.1.2,10.1.1.3,49153,1002,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,10_static_udp_ddos_low_r53,10,5,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
3,4,10_static_udp_ddos_low_r53,10,5,10.1.1.5,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,1,3
3,4,10_static_udp_ddos_low_r53,10,5,10.1.1.6,10.1.1.3,49153,1002,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
3,4,10_static_udp_ddos_low_r53,10,5,10.1.1.7,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
3,4,10_static_udp_ddos_low_r53,10,5,10.1.1.8,10.1.1.9,49153,1008,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
3,4,10_static_udp_ddos_low_r53,10,5,10.1.1.9,10.1.1.10,49153,1009,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
3,4,10_static_udp_ddos_low_r53,10,5,10.1.1.10,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,0,0
4,5,10_static_udp_ddos_low_r53,10,5,10.1.1.2,10.1.1.3,49153,1002,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
4,5,10_static_udp_ddos_low_r53,10,5,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
4,5,10_static_udp_ddos_low_r53,10,5,10.1.1.5,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,1,3
4,5,10_static_udp_ddos_low_r53,10,5,10.1.1.6,10.1.1.3,49153,1002,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
4,5,10_static_udp_ddos_low_r53,10,5,10.1.1.7,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
4,5,10_static_udp_ddos_low_r53,10,5,10.1.1.8,10.1.1.9,49153,1008,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
4,5,10_static_udp_ddos_low_r53,10,5,10.1.1.9,10.1.1.10,49153,1009,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
4,5,10_static_udp_ddos_low_r53,10,5,10.1.1.10,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,0,0
5,6,10_static_udp_ddos_low_r53,10,5,10.1.1.2,10.1.1.3,49153,1002,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
5,6,10_static_udp_ddos_low_r53,10,5,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
5,6,10_static_udp_ddos_low_r53,10,5,10.1.1.5,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,1,3
5,6,10_static_udp_ddos_low_r53,10,5,10.1.1.6,10.1.1.3,49153,1002,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
5,6,10_static_udp_ddos_low_r53,10,5,10.1.1.7,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
5,6,10_static_udp_ddos_low_r53,10,5,10.1.1.8,10.1.1.9,49153,1008,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
5,6,10_static_udp_ddos_low_r53,10,5,10.1.1.9,10.1.1.10,49153,1009,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
5,6,10_static_udp_ddos_low_r53,10,5,10.1.1.10,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,0,0
6,7,10_static_udp_ddos_low_r53,10,5,10.1.1.2,10.1.1.3,49153,1002,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
6,7,10_static_udp_ddos_low_r53,10,5,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
6,7,10_static_udp_ddos_low_r53,10,5,10.1.1.5,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,1,3
6,7,10_static_udp_ddos_low_r53,10,5,10.1.1.6,10.1.1.3,49153,1002,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
6,7,10_static_udp_ddos_low_r53,10,5,10.1.1.7,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
6,7,10_static_udp_ddos_low_r53,10,5,10.1.1.8,10.1.1.9,49153,1008,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
6,7,10_static_udp_ddos_low_r53,10,5,10.1.1.9,10.1.1.10,49153,1009,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
6,7,10_static_udp_ddos_low_r53,10,5,10.1.1.10,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,0,0
7,8,10_static_udp_ddos_low_r53,10,5,10.1.1.2,10.1.1.3,49153,1002,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
7,8,10_static_udp_ddos_low_r53,10,5,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
7,8,10_static_udp_ddos_low_r53,10,5,10.1.1.5,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,1,3
7,8,10_static_udp_ddos_low_r53,10,5,10.1.1.6,10.1.1.3,49153,1002,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
7,8,10_static_udp_ddos_low_r53,10,5,10.1.1.7,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
7,8,10_static_udp_ddos_low_r53,10,5,10.1.1.8,10.1.1.9,49153,1008,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
7,8,10_static_udp_ddos_low_r53,10,5,10.1.1.9,10.1.1.10,49153,1009,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
7,8,10_static_udp_ddos_low_r53,10,5,10.1.1.10,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,0,0
8,9,10_static_udp_ddos_low_r53,10,5,10.1.1.2,10.1.1.3,49153,1002,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,10_static_udp_ddos_low_r53,10,5,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
8,9,10_static_udp_ddos_low_r53,10,5,10.1.1.5,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,1,3
8,9,10_static_udp_ddos_low_r53,10,5,10.1.1.6,10.1.1.3,49153,1002,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
8,9,10_static_udp_ddos_low_r53,10,5,10.1.1.7,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
8,9,10_static_udp_ddos_low_r53,10,5,10.1.1.8,10.1.1.9,49153,1008,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
8,9,10_static_udp_ddos_low_r53,10,5,10.1.1.9,10.1.1.10,49153,1009,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
8,9,10_static_udp_ddos_low_r53,10,5,10.1.1.10,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,0,0
9,10,10_static_udp_ddos_low_r53,10,5,10.1.1.2,10.1.1.3,49153,1002,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,10_static_udp_ddos_low_r53,10,5,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
9,10,10_static_udp_ddos_low_r53,10,5,10.1.1.5,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,1,3
9,10,10_static_udp_ddos_low_r53,10,5,10.1.1.6,10.1.1.3,49153,1002,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
9,10,10_static_udp_ddos_low_r53,10,5,10.1.1.7,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
9,10,10_static_udp_ddos_low_r53,10,5,10.1.1.8,10.1.1.9,49153,1008,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
9,10,10_static_udp_ddos_low_r53,10,5,10.1.1.9,10.1.1.10,49153,1009,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
9,10,10_static_udp_ddos_low_r53,10,5,10.1.1.10,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,0,0
10,11,10_static_udp_ddos_low_r53,10,5,10.1.1.2,10.1.1.3,49153,1002,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,10_static_udp_ddos_low_r53,10,5,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
10,11,10_static_udp_ddos_low_r53,10,5,10.1.1.5,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,1,3
10,11,10_static_udp_ddos_low_r53,10,5,10.1.1.6,10.1.1.3,49153,1002,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
10,11,10_static_udp_ddos_low_r53,10,5,10.1.1.7,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
10,11,10_static_udp_ddos_low_r53,10,5,10.1.1.8,10.1.1.9,49153,1008,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
10,11,10_static_udp_ddos_low_r53,10,5,10.1.1.9,10.1.1.10,49153,1009,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
10,11,10_static_udp_ddos_low_r53,10,5,10.1.1.10,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,0,0
11,12,10_static_udp_ddos_low_r53,10,5,10.1.1.2,10.1.1.3,49153,1002,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
11,12,10_static_udp_ddos_low_r53,10,5,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
11,12,10_static_udp_ddos_low_r53,10,5,10.1.1.5,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,1,3
11,12,10_static_udp_ddos_low_r53,10,5,10.1.1.6,10.1.1.3,49153,1002,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
11,12,10_static_udp_ddos_low_r53,10,5,10.1.1.7,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
11,12,10_static_udp_ddos_low_r53,10,5,10.1.1.8,10.1.1.9,49153,1008,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
11,12,10_static_udp_ddos_low_r53,10,5,10.1.1.9,10.1.1.10,49153,1009,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
11,12,10_static_udp_ddos_low_r53,10,5,10.1.1.10,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,0,0
12,13,10_static_udp_ddos_low_r53,10,5,10.1.1.2,10.1.1.3,49153,1002,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
12,13,10_static_udp_ddos_low_r53,10,5,10.1.1.4,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,0,0
12,13,10_static_udp_ddos_low_r53,10,5,10.1.1.5,10.1.1.1,49153,1000,17,540,1,27000,0,50,0,50,27000,50,27000,0,0,1,3
12,13,10_static_udp_ddos_low_r53,10,5,10.1.1.6,10.1.1.3,49153,1002,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
12,13,10_static_udp_ddos_low_r53,10,5,10.1.1.7,10.1.1.1,49153,1000,17,1052,1,1315000,0,1250,0,1250,1.315e+06,1250,1.315e+06,0,0,1,3
