time_start,time_end,scenario_id,ue_total,attackers,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,flow_duration,total_bytes_fwd,total_bytes_bwd,total_pkts_fwd,total_pkts_bwd,pkts_per_sec,bytes_per_sec,flow_pkts_per_sec,flow_bytes_per_sec,jitter_ms,delay_ms,label_binary,label_intensity
0,1,50_mobile_tcp_benign_low_r16,50,0,10.1.1.3,10.1.1.44,49153,1043,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_benign_low_r16,50,0,10.1.1.6,10.1.1.14,49153,1013,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_benign_low_r16,50,0,10.1.1.12,10.1.1.13,49153,1012,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_benign_low_r16,50,0,10.1.1.16,10.1.1.49,49153,1048,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_benign_low_r16,50,0,10.1.1.22,10.1.1.14,49153,1013,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_benign_low_r16,50,0,10.1.1.23,10.1.1.14,49153,1013,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_benign_low_r16,50,0,10.1.1.26,10.1.1.4,49153,1003,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_benign_low_r16,50,0,10.1.1.27,10.1.1.49,49153,1048,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_benign_low_r16,50,0,10.1.1.29,10.1.1.4,49153,1003,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_benign_low_r16,50,0,10.1.1.35,10.1.1.44,49153,1043,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_benign_low_r16,50,0,10.1.1.37,10.1.1.14,49153,1013,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_benign_low_r16,50,0,10.1.1.38,10.1.1.44,49153,1043,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_benign_low_r16,50,0,10.1.1.41,10.1.1.14,49153,1013,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_benign_low_r16,50,0,10.1.1.47,10.1.1.4,49153,1003,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_benign_low_r16,50,0,10.1.1.50,10.1.1.13,49153,1012,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
1,2,50_mobile_tcp_benign_low_r16,50,0,10.1.1.3,10.1.1.44,49153,1043,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_benign_low_r16,50,0,10.1.1.6,10.1.1.14,49153,1013,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_benign_low_r16,50,0,10.1.1.12,10.1.1.13,49153,1012,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_benign_low_r16,50,0,10.1.1.16,10.1.1.49,49153,1048,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_benign_low_r16,50,0,10.1.1.22,10.1.1.14,49153,1013,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_benign_low_r16,50,0,10.1.1.23,10.1.1.14,49153,1013,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_benign_low_r16,50,0,10.1.1.26,10.1.1.4,49153,1003,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_benign_low_r16,50,0,10.1.1.27,10.1.1.49,49153,1048,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_benign_low_r16,50,0,10.1.1.29,10.1.1.4,49153,1003,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_benign_low_r16,50,0,10.1.1.35,10.1.1.44,49153,1043,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_benign_low_r16,50,0,10.1.1.37,10.1.1.14,49153,1013,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_benign_low_r16,50,0,10.1.1.38,10.1.1.44,49153,1043,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_benign_low_r16,50,0,10.1.1.41,10.1.1.14,49153,1013,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_benign_low_r16,50,0,10.1.1.47,10.1.1.4,49153,1003,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_benign_low_r16,50,0,10.1.1.50,10.1.1.13,49153,1012,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,50_mobile_tcp_benign_low_r16,50,0,10.1.1.3,10.1.1.44,49153,1043,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,50_mobile_tcp_benign_low_r16,50,0,10.1.1.6,10.1.1.14,49153,1013,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,50_mobile_tcp_benign_low_r16,50,0,10.1.1.12,10.1.1.13,49153,1012,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,50_mobile_tcp_benign_low_r16,50,0,10.1.1.16,10.1.1.49,49153,1048,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,50_mobile_tcp_benign_low_r16,50,0,10.1.1.22,10.1.1.14,49153,1013,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,50_mobile_tcp_benign_low_r16,50,0,10.1.1.23,10.1.1.14,49153,1013,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,50_mobile_tcp_benign_low_r16,50,0,10.1.1.26,10.1.1.4,49153,1003,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,50_mobile_tcp_benign_low_r16,50,0,10.1.1.27,10.1.1.49,49153,1048,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,50_mobile_tcp_benign_low_r16,50,0,10.1.1.29,10.1.1.4,49153,1003,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,50_mobile_tcp_benign_low_r16,50,0,10.1.1.35,10.1.1.44,49153,1043,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,50_mobile_tcp_benign_low_r16,50,0,10.1.1.37,10.1.1.14,49153,1013,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,50_mobile_tcp_benign_low_r16,50,0,10.1.1.38,10.1.1.44,49153,1043,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,50_mobile_tcp_benign_low_r16,50,0,10.1.1.41,10.1.1.14,49153,1013,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,50_mobile_tcp_benign_low_r16,50,0,10.1.1.47,10.1.1.4,49153,1003,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,50_mobile_tcp_benign_low_r16,50,0,10.1.1.50,10.1.1.13,49153,1012,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,4,50_mobile_tcp_benign_low_r16,50,0,10.1.1.3,10.1.1.44,49153,1043,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
3,4,50_mobile_tcp_benign_low_r16,50,0,10.1.1.6,10.1.1.14,49153,1013,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
3,4,50_mobile_tcp_benign_low_r16,50,0,10.1.1.12,10.1.1.13,49153,1012,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
