time_start,time_end,scenario_id,ue_total,attackers,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,flow_duration,total_bytes_fwd,total_bytes_bwd,total_pkts_fwd,total_pkts_bwd,pkts_per_sec,bytes_per_sec,flow_pkts_per_sec,flow_bytes_per_sec,jitter_ms,delay_ms,label_binary,label_intensity
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.1,10.1.1.49,49153,1048,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.2,10.1.1.49,49153,1048,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.11,10.1.1.24,49153,1023,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.14,10.1.1.23,49153,1022,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.15,10.1.1.24,49153,1023,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.19,10.1.1.9,49153,1008,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.22,10.1.1.23,49153,1022,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.27,10.1.1.49,49153,1048,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.28,10.1.1.24,49153,1023,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.29,10.1.1.9,49153,1008,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.32,10.1.1.23,49153,1022,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.38,10.1.1.43,49153,1042,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.40,10.1.1.23,49153,1022,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.44,10.1.1.9,49153,1008,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.45,10.1.1.49,49153,1048,6,56,1,56,0,1,0,1,56,1,56,0,0,1,3
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.46,10.1.1.24,49153,1023,6,56,1,56,0,1,0,1,56,1,56,0,0,1,3
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.47,10.1.1.49,49153,1048,6,56,1,56,0,1,0,1,56,1,56,0,0,1,3
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.48,10.1.1.49,49153,1048,6,56,1,56,0,1,0,1,56,1,56,0,0,1,3
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.49,10.1.1.49,1048,49153,6,393.306,1,1269640,27539208,24416,48832,73248,2.88088e+07,24416,1.26964e+06,0,0,1,3
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.49,10.1.1.49,49153,1048,6,393.306,1,27539208,1269640,48832,24416,73248,2.88088e+07,48832,2.75392e+07,0,0,1,3
0,1,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.50,10.1.1.24,49153,1023,6,56,1,56,0,1,0,1,56,1,56,0,0,0,0
1,2,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.1,10.1.1.49,49153,1048,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.2,10.1.1.49,49153,1048,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.11,10.1.1.24,49153,1023,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.14,10.1.1.23,49153,1022,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.15,10.1.1.24,49153,1023,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.19,10.1.1.9,49153,1008,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.22,10.1.1.23,49153,1022,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.27,10.1.1.49,49153,1048,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.28,10.1.1.24,49153,1023,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.29,10.1.1.9,49153,1008,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.32,10.1.1.23,49153,1022,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.38,10.1.1.43,49153,1042,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.40,10.1.1.23,49153,1022,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.44,10.1.1.9,49153,1008,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.45,10.1.1.49,49153,1048,6,0,1,0,0,0,0,0,0,0,0,0,0,1,3
1,2,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.46,10.1.1.24,49153,1023,6,0,1,0,0,0,0,0,0,0,0,0,0,1,3
1,2,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.47,10.1.1.49,49153,1048,6,0,1,0,0,0,0,0,0,0,0,0,0,1,3
1,2,50_mobile_tcp_ddos_high_r3,50,5,10.1.1.48,10.1.1.49,49153,1048,6,0,1,0,0,0,0,0,0,0,0,0,0,1,3
